CG7460	FBtr0333692
NUCB1	FBtr0075171
CG5589	FBtr0075170
CG5567	FBtr0075161
MED19	FBtr0345815
MED19	FBtr0075160
CG7430	FBtr0075140
CG7430	FBtr0331810
CG5535	FBtr0273277
Prestin	FBtr0075153
CG44005	FBtr0334131
CG44005	FBtr0334130
mRpS26	FBtr0075121
mus304	FBtr0075122
gk	FBtr0075126
grim	FBtr0075130
rpr	FBtr0075120
skl	FBtr0075119
CG7271	FBtr0075101
term	FBtr0075112
CG13380	FBtr0332869
not	FBtr0346438
not	FBtr0290259
bora	FBtr0075108
Capr	FBtr0075098
Sgf11	FBtr0113179
CG32202	FBtr0075051
Chmp1	FBtr0345383
Chmp1	FBtr0075092
CG6885	FBtr0075053
Atg3	FBtr0075055
HipHop	FBtr0075057
HipHop	FBtr0075056
Cat	FBtr0075058
Indy	FBtr0075083
CG14074	FBtr0308812
Dysb	FBtr0333708
Dysb	FBtr0075062
CG6852	FBtr0075063
Ugt	FBtr0075064
RpL26	FBtr0075066
arx	FBtr0075075
CG6843	FBtr0075067
CSN1b	FBtr0075074
CG6841	FBtr0075068
CG6841	FBtr0346816
CG18135	FBtr0075042
CG3808	FBtr0075041
CG3797	FBtr0332648
CG3797	FBtr0075037
MESR6	FBtr0075026
CG11577	FBtr0075034
CG10424	FBtr0075033
Gem2	FBtr0075032
mRpL21	FBtr0346548
mRpL21	FBtr0333224
mRpL21	FBtr0075022
rept	FBtr0331852
rept	FBtr0074988
nes	FBtr0075020
CR45210	FBtr0345237
CG9666	FBtr0074991
CG42374	FBtr0299975
fal	FBtr0347258
fal	FBtr0290284
Chd3	FBtr0074998
CR44676	FBtr0342758
CR45916	FBtr0346990
CG9231	FBtr0074972
CG9231	FBtr0344994
CG9330	FBtr0074940
CG14100	FBtr0074971
Taf6	FBtr0074941
CG9376	FBtr0074946
asf1	FBtr0302381
asf1	FBtr0074947
wnd	FBtr0302513
CG8786	FBtr0331862
CG8786	FBtr0290116
CG14103	FBtr0333878
CG14103	FBtr0074927
CG15881	FBtr0074880
Kap-alpha1	FBtr0074881
cyc	FBtr0074924
Deaf1	FBtr0074882
Rab8	FBtr0074921
Rab8	FBtr0308833
Mi-2	FBtr0302046
Su(Tpl)	FBtr0302047
Su(Tpl)	FBtr0074920
Prp3	FBtr0074891
Mtr3	FBtr0074918
Rpn1	FBtr0074893
CG7770	FBtr0074894
CG7770	FBtr0330181
Grasp65	FBtr0074895
CG8004	FBtr0074915
RhoGDI	FBtr0074896
CG14182	FBtr0346534
CG14182	FBtr0074913
CG14182	FBtr0331801
Tom20	FBtr0074903
CG14184	FBtr0074872
CG14184	FBtr0302366
CG7328	FBtr0074864
Su(var)3-3	FBtr0074825
CG6951	FBtr0074829
Clc	FBtr0074830
Clc	FBtr0301126
CG17122	FBtr0074849
Pex23	FBtr0074846
polo	FBtr0074839
polo	FBtr0100318
alphaSnap	FBtr0074840
eRF1	FBtr0078173
kin17	FBtr0078181
RhoBTB	FBtr0078185
RhoBTB	FBtr0330157
fbl	FBtr0078186
fbl	FBtr0078190
trbl	FBtr0078235
CR45973	FBtr0347089
CG5262	FBtr0310615
CG5262	FBtr0078230
Las	FBtr0290266
mRpL15	FBtr0078227
CG5872	FBtr0078194
CR45176	FBtr0345053
CG5199	FBtr0078224
CG32428	FBtr0303381
CG32428	FBtr0078222
CG5969	FBtr0078198
CG6020	FBtr0331564
CG5059	FBtr0078218
CG5059	FBtr0331567
CG5059	FBtr0078217
CG5059	FBtr0078216
CG5104	FBtr0078209
CG4825	FBtr0078214
CR44680	FBtr0342776
kni	FBtr0344836
kni	FBtr0078283
CG4042	FBtr0078279
Pitslre	FBtr0078247
Pex16	FBtr0078278
Pex14	FBtr0078251
CG11399	FBtr0078277
CG4365	FBtr0078253
Spc105R	FBtr0078255
CG3634	FBtr0078272
CG3634	FBtr0331529
HIPP1	FBtr0078256
CG3618	FBtr0078271
Pka-R1	FBtr0299891
Pka-R1	FBtr0299892
Pka-R1	FBtr0300528
Pka-R1	FBtr0300534
Pka-R1	FBtr0302641
Pka-R1	FBtr0302643
CG13255	FBtr0331527
CG13255	FBtr0078263
CG11456	FBtr0333371
CG10585	FBtr0078287
CG10584	FBtr0078327
siz	FBtr0078289
siz	FBtr0111038
CG10565	FBtr0078323
CG10565	FBtr0305502
Ac78C	FBtr0305501
asparagine-synthetase	FBtr0089463
chb	FBtr0089461
CG34261	FBtr0112456
Ilk	FBtr0078305
CG9391	FBtr0078417
AcCoAS	FBtr0078413
AcCoAS	FBtr0333126
ppl	FBtr0078412
pzg	FBtr0331793
CG11309	FBtr0331798
CG7632	FBtr0078339
CG7338	FBtr0078342
CG7324	FBtr0331797
CG7324	FBtr0078404
barc	FBtr0078399
Aef1	FBtr0330156
Aef1	FBtr0078348
Aef1	FBtr0078350
CG5664	FBtr0078397
Syx7	FBtr0078351
croc	FBtr0078395
Neu2	FBtr0078394
CG7519	FBtr0078353
Glg1	FBtr0078388
Cdk12	FBtr0332716
Cdk12	FBtr0078358
CG32442	FBtr0089798
Mkrn1	FBtr0078383
Rpn10	FBtr0078368
Rpn10	FBtr0333453
CoVIII	FBtr0333464
CoVIII	FBtr0078382
VhaM9.7-b	FBtr0078369
CG7172	FBtr0078377
SMC5	FBtr0301600
CG32441	FBtr0300057
MED1	FBtr0302592
ORMDL	FBtr0078423
Atox1	FBtr0078426
Atox1	FBtr0330117
Als2	FBtr0078462
CG11248	FBtr0078431
CG11247	FBtr0078458
Rpb8	FBtr0078432
CG14570	FBtr0078457
CycH	FBtr0078439
CG7414	FBtr0303246
CG32448	FBtr0290247
Nopp140	FBtr0089579
Nopp140	FBtr0089580
P5CDh1	FBtr0078446
P5CDh1	FBtr0078445
mub	FBtr0301364
mub	FBtr0304983
mub	FBtr0078468
mub	FBtr0078470
mub	FBtr0111017
CG7458	FBtr0078475
CR34262	FBtr0112457
CG14561	FBtr0078480
CG7139	FBtr0078486
CG7133	FBtr0078485
RpLP0	FBtr0078481
Rich	FBtr0078512
Csp	FBtr0344983
Csp	FBtr0078494
Csp	FBtr0078495
Aats-ile	FBtr0078498
laza	FBtr0078508
CG32452	FBtr0078524
CG32452	FBtr0345591
CG14451	FBtr0078538
mael	FBtr0089632
CG14450	FBtr0078537
CG11367	FBtr0078528
CG32454	FBtr0078529
CG11241	FBtr0078536
l(3)04053	FBtr0078535
CG7369	FBtr0078530
SPoCk	FBtr0078531
CG33169	FBtr0299876
CG33169	FBtr0078549
CG11137	FBtr0347060
Arf79F	FBtr0078573
Chro	FBtr0078568
Ssl1	FBtr0332051
BoYb	FBtr0078559
Mes2	FBtr0078561
CR40354	FBtr0302346
CG40228	FBtr0333871
RpL15	FBtr0113742
Yeti	FBtr0290310
CG17691	FBtr0302410
CR41501	FBtr0302232
gus	FBtr0309846
d4	FBtr0086082
CG1344	FBtr0086034
CG1344	FBtr0331967
Not3	FBtr0331970
Not3	FBtr0086062
kune	FBtr0086037
CG17337	FBtr0086038
vlc	FBtr0086039
l(2)09851	FBtr0086043
l(2)09851	FBtr0335269
Src42A	FBtr0335275
Act42A	FBtr0086029
SCAP	FBtr0086027
Tbce	FBtr0085974
CG7845	FBtr0086023
CG7849	FBtr0085977
Ars2	FBtr0310667
EcR	FBtr0086009
bin3	FBtr0085992
bin3	FBtr0085993
jing	FBtr0301636
Vha16-1	FBtr0086151
Vha16-1	FBtr0086152
Vha16-1	FBtr0086150
Trap1	FBtr0336666
Trap1	FBtr0086149
Bap170	FBtr0086107
Debcl	FBtr0086108
geminin	FBtr0336665
sced	FBtr0336663
sced	FBtr0086110
Dpit47	FBtr0336664
Dpit47	FBtr0086146
Adf1	FBtr0086113
CG9410	FBtr0086115
Hsepi	FBtr0086145
CG17266	FBtr0307502
CG17266	FBtr0086144
Mob4	FBtr0086141
Mob4	FBtr0307075
Rab2	FBtr0336658
CG3409	FBtr0086140
CG45092	FBtr0344559
Eb1	FBtr0086127
Eb1	FBtr0086131
CG3420	FBtr0332940
CG9436	FBtr0086134
SdhB	FBtr0086156
CG15237	FBtr0086212
koi	FBtr0335515
coro	FBtr0086207
CG3358	FBtr0336741
CG3358	FBtr0336740
Cyp6u1	FBtr0345011
CG30157	FBtr0345010
CG30157	FBtr0086186
vimar	FBtr0086183
CG17002	FBtr0303225
Br140	FBtr0345370
Br140	FBtr0089021
Incenp	FBtr0336908
cos	FBtr0089015
cos	FBtr0336916
CG11107	FBtr0336909
CG1707	FBtr0089013
Eaf	FBtr0089007
CG11123	FBtr0088971
kappaB-Ras	FBtr0336926
CG11141	FBtr0345799
CG11141	FBtr0088999
CG11141	FBtr0088998
CG11127	FBtr0088975
p47	FBtr0088997
Aldh-III	FBtr0088993
wech	FBtr0300083
wech	FBtr0300080
CR43723	FBtr0329875
CG1620	FBtr0088983
CG1620	FBtr0300830
CG1620	FBtr0336918
dpa	FBtr0088982
dpa	FBtr0345797
CG12736	FBtr0088981
az2	FBtr0088980
CG1603	FBtr0336925
CG1603	FBtr0088979
Orc1	FBtr0088959
Cyt-b5	FBtr0088905
CG2137	FBtr0088907
CG30499	FBtr0310025
boca	FBtr0088953
scra	FBtr0088912
scra	FBtr0088911
CG43340	FBtr0306938
CG17985	FBtr0088946
Rpt1	FBtr0088947
CG12042	FBtr0088944
mRpL52	FBtr0088942
CG12107	FBtr0088924
CG30496	FBtr0088926
CG34216	FBtr0339118
tor	FBtr0339117
CG18812	FBtr0088937
CG18812	FBtr0330327
CG30497	FBtr0088932
CG45093	FBtr0344565
Gapdh1	FBtr0100479
Gapdh1	FBtr0088903
Nop17l	FBtr0088900
sax	FBtr0088832
CG1882	FBtr0088834
CG1882	FBtr0345697
CG1882	FBtr0339120
cathD	FBtr0088898
CG18853	FBtr0089426
CG12822	FBtr0088842
CG30377	FBtr0339121
Cul1	FBtr0088846
Kdm4A	FBtr0088886
drosha	FBtr0088850
CG8728	FBtr0088882
CG14764	FBtr0088880
Sep5	FBtr0088877
nito	FBtr0339122
nito	FBtr0088857
CG8726	FBtr0088874
CSN4	FBtr0301230
Nup44A	FBtr0088862
lig	FBtr0088774
lig	FBtr0301915
lig	FBtr0304681
lig	FBtr0304682
Vps28	FBtr0310370
Vps28	FBtr0088825
CG8712	FBtr0088822
CG11210	FBtr0088781
udd	FBtr0088782
Asap	FBtr0100140
Nup50	FBtr0088783
Socs44A	FBtr0088784
Pbp49	FBtr0300658
Pabp2	FBtr0088786
kermit	FBtr0088811
kermit	FBtr0088812
CG30373	FBtr0088806
Rs1	FBtr0088788
Gasz	FBtr0088789
dpn	FBtr0088803
pnut	FBtr0088792
pnut	FBtr0088793
CSN7	FBtr0088742
Mal-A5	FBtr0088749
CG8735	FBtr0088730
Vps25	FBtr0088694
beta3GalTII	FBtr0088728
CG14749	FBtr0088695
CG8635	FBtr0339356
CG8635	FBtr0088727
PGRP-SC2	FBtr0088709
CG14767	FBtr0088718
CG14767	FBtr0088719
gcl	FBtr0088710
stmA	FBtr0088716
Dmn	FBtr0088641
Sec31	FBtr0088643
ana2	FBtr0088685
ana2	FBtr0339310
CG13751	FBtr0088644
MrgBP	FBtr0088684
Ggamma1	FBtr0088646
Ggamma1	FBtr0088645
CG8258	FBtr0088683
CG30349	FBtr0088650
lin	FBtr0088651
Spt	FBtr0290033
CG8243	FBtr0088652
CG8237	FBtr0088653
CG33199	FBtr0307344
CG33199	FBtr0088688
CG8229	FBtr0290279
CG8229	FBtr0290278
Dbp45A	FBtr0088564
CG13741	FBtr0088632
snoRNA:Or-CD2	FBtr0091613
Vang	FBtr0088566
Vang	FBtr0330624
Pmm45A	FBtr0088630
tsu	FBtr0088567
Mys45A	FBtr0088628
Phax	FBtr0088568
Su(var)2-10	FBtr0088571
Su(var)2-10	FBtr0088572
Su(var)2-10	FBtr0302507
Su(var)2-10	FBtr0088573
Su(var)2-10	FBtr0088576
Su(var)2-10	FBtr0088578
Su(var)2-10	FBtr0302505
CG18659	FBtr0088626
alc	FBtr0088625
alc	FBtr0088624
shrb	FBtr0088623
Prp38	FBtr0088582
CG30344	FBtr0088583
ltd	FBtr0089934
CG8026	FBtr0088611
CG8026	FBtr0302512
CG45085	FBtr0344529
CG45085	FBtr0344530
CG8027	FBtr0088609
VhaAC45	FBtr0088588
VhaAC45	FBtr0088587
CG2063	FBtr0088600
Mad1	FBtr0088599
Drep-2	FBtr0088597
Drep-2	FBtr0304798
Myd88	FBtr0333000
Myd88	FBtr0345024
Myd88	FBtr0088598
Non1	FBtr0300649
Non1	FBtr0088554
l(2)k10201	FBtr0088505
wun	FBtr0088553
wun2	FBtr0088506
Pdk	FBtr0088508
ced-6	FBtr0088548
CG1888	FBtr0088547
CG1888	FBtr0310033
CR45281	FBtr0345574
CR45281	FBtr0345573
Updo	FBtr0088524
CG12929	FBtr0088541
CG12929	FBtr0113060
RpL31	FBtr0088525
Map60	FBtr0088530
CG1902	FBtr0088531
GstT1	FBtr0088463
GstT2	FBtr0088464
Uba1	FBtr0088499
Uba1	FBtr0339517
dap	FBtr0088469
Lsm11	FBtr0088485
Orc6	FBtr0088482
Prosalpha7	FBtr0089998
Ntmt	FBtr0088375
CG18446	FBtr0088376
CG12744	FBtr0088377
Sec24AB	FBtr0088451
Etf-QO	FBtr0088384
Pal1	FBtr0339422
CG1418	FBtr0088440
Adam	FBtr0088387
Adam	FBtr0339425
CG12134	FBtr0088389
CR43948	FBtr0333552
eve	FBtr0088390
TER94	FBtr0088391
CR44294	FBtr0339421
CG12128	FBtr0088393
CG1407	FBtr0088436
CG1407	FBtr0339418
CG12129	FBtr0088395
CoVIIc	FBtr0088396
magu	FBtr0088402
cdc2rk	FBtr0088429
CG1371	FBtr0088428
egr	FBtr0088405
egr	FBtr0088406
RpLP0-like	FBtr0088425
14-3-3zeta	FBtr0088412
14-3-3zeta	FBtr0088415
Pfk	FBtr0088421
CR43467	FBtr0309290
CR43467	FBtr0309291
mlt	FBtr0331945
mlt	FBtr0088370
mlt	FBtr0088369
Syb	FBtr0088362
Syb	FBtr0273274
Syb	FBtr0273275
CAP	FBtr0299828
CG12909	FBtr0088348
CG33474	FBtr0088260
CG33474	FBtr0345937
RanBPM	FBtr0088262
Caf1-105	FBtr0088310
CG11777	FBtr0088273
whd	FBtr0088307
CG17765	FBtr0088274
pre-lola-G	FBtr0343133
lola	FBtr0089357
lola	FBtr0089346
lola	FBtr0343132
lola	FBtr0089350
lola	FBtr0089342
lola	FBtr0089349
lola	FBtr0100286
Mat1	FBtr0088255
CG7637	FBtr0088252
CG7222	FBtr0088223
Prosbeta5	FBtr0088225
Lsm10	FBtr0088248
RpS15Ab	FBtr0088226
CG12343	FBtr0088247
CG12325	FBtr0345930
CG12325	FBtr0088227
CG7686	FBtr0339475
CG7686	FBtr0088245
nclb	FBtr0088228
Taf5	FBtr0088240
CG18004	FBtr0089728
cag	FBtr0331937
cag	FBtr0088239
CG7712	FBtr0331936
CG7712	FBtr0088238
Rpb5	FBtr0331935
Rpb5	FBtr0088237
CG12391	FBtr0088205
CG13217	FBtr0088194
CG34224	FBtr0112417
CG9062	FBtr0088181
CG13220	FBtr0332421
CG13220	FBtr0088116
CG42336	FBtr0299855
Fpps	FBtr0088170
CG12384	FBtr0088155
ix	FBtr0088154
san	FBtr0088126
Sod3	FBtr0110897
Sod3	FBtr0089938
wal	FBtr0088082
CG13192	FBtr0088031
Mtor	FBtr0088033
Mtor	FBtr0332464
ERp60	FBtr0088058
Ef1alpha48D	FBtr0088035
Ef1alpha48D	FBtr0345022
Zip48C	FBtr0088038
PI31	FBtr0088053
PI31	FBtr0088051
ADD1	FBtr0088042
CG33145	FBtr0088048
rho-7	FBtr0339555
rho-7	FBtr0088045
128up	FBtr0087976
Drep-1	FBtr0087978
Drep-1	FBtr0330629
CG18343	FBtr0087982
CG8378	FBtr0087983
CG8878	FBtr0088017
Prp8	FBtr0088016
Oda	FBtr0088013
SmD3	FBtr0087986
Cct5	FBtr0087987
CG8860	FBtr0088011
wash	FBtr0087989
SmF	FBtr0088010
CR45276	FBtr0345530
Sr-CII	FBtr0088004
Cam	FBtr0088001
CG13163	FBtr0087896
CG8841	FBtr0087965
CG8841	FBtr0087966
CG8490	FBtr0301195
Den1	FBtr0087902
CG8839	FBtr0087957
ana3	FBtr0087904
CG8520	FBtr0303222
CG8525	FBtr0087927
CG8525	FBtr0346630
Nup54	FBtr0087952
DUBAI	FBtr0087951
CG30051	FBtr0114521
Dyb	FBtr0100298
Lac	FBtr0087933
dgt5	FBtr0339638
CG8545	FBtr0087934
fdl	FBtr0346633
fdl	FBtr0087946
CG13151	FBtr0087939
CG8569	FBtr0087940
Sin3A	FBtr0303565
Sin3A	FBtr0304683
CR30055	FBtr0303918
CR30055	FBtr0303919
CR30055	FBtr0345021
muskelin	FBtr0087886
muskelin	FBtr0087885
spt4	FBtr0087840
CG33671	FBtr0333102
CG33671	FBtr0091650
CG33672	FBtr0091651
CG8778	FBtr0087880
ZnT49B	FBtr0087845
CG8771	FBtr0306684
Taz	FBtr0087862
mRpL18	FBtr0087852
ox	FBtr0087861
Dgkepsilon	FBtr0087853
Dgkepsilon	FBtr0339705
Nacalpha	FBtr0345195
CR45266	FBtr0345477
sca	FBtr0087855
sca	FBtr0087856
CG17574	FBtr0087816
bic	FBtr0087783
bic	FBtr0087782
Nmda1	FBtr0089876
Aats-asp	FBtr0087784
NAT1	FBtr0087786
NAT1	FBtr0334772
CG13319	FBtr0300890
CG17019	FBtr0087806
CG17019	FBtr0339738
CG13322	FBtr0087803
Mdr49	FBtr0087801
Psc	FBtr0345375
Psc	FBtr0345196
Psc	FBtr0087798
Cap-G	FBtr0299507
CG34439	FBtr0112740
Spt-I	FBtr0087731
AGBE	FBtr0087732
Aats-val	FBtr0087734
Aats-val	FBtr0087735
lat	FBtr0087769
CG4627	FBtr0087738
CG4646	FBtr0345470
Fsn	FBtr0087763
Dp	FBtr0087740
Dp	FBtr0087741
Pex13	FBtr0087761
CG4670	FBtr0087760
CG4679	FBtr0087759
CG30059	FBtr0087715
cnn	FBtr0087703
bbc	FBtr0087699
drk	FBtr0087698
mars	FBtr0087668
mip120	FBtr0087669
EfTuM	FBtr0087670
CG33156	FBtr0087682
Roe1	FBtr0087675
link	FBtr0087676
CG13334	FBtr0087677
CG13334	FBtr0305955
CG6191	FBtr0330617
S-Lap5	FBtr0087624
fl(2)d	FBtr0087647
CG6543	FBtr0087643
tum	FBtr0087641
Uba3	FBtr0087585
CG13344	FBtr0339953
CG13344	FBtr0087586
mRpL53	FBtr0100285
CG33155	FBtr0100452
Rpn13	FBtr0087610
Rpn13	FBtr0114493
CG42806	FBtr0304022
Aats-phe	FBtr0087594
CG6701	FBtr0303989
Ctf4	FBtr0087606
CG8067	FBtr0087595
RN-tre	FBtr0087603
RN-tre	FBtr0087605
Prosap	FBtr0087601
Rcd1	FBtr0087583
Rcd1	FBtr0310669
Rcd1	FBtr0087582
Rcd1	FBtr0310668
pea	FBtr0087518
CG13016	FBtr0087519
O-fut1	FBtr0087520
O-fut1	FBtr0339959
Tango7	FBtr0339964
Tango7	FBtr0087579
mRpS16	FBtr0087578
cg	FBtr0087526
cg	FBtr0087527
cg	FBtr0290034
RpS23	FBtr0087575
RpS23	FBtr0339970
Opa1	FBtr0087573
Opa1	FBtr0087574
Opa1	FBtr0339759
Opa1	FBtr0339760
CG8485	FBtr0087572
CG8485	FBtr0087569
CG8494	FBtr0087535
Hsc70-5	FBtr0339969
Hsc70-5	FBtr0087568
CG8531	FBtr0087538
SelD	FBtr0087565
CG8617	FBtr0087561
Arc1	FBtr0087560
Arc2	FBtr0087547
Tfb1	FBtr0087548
Tfb1	FBtr0087550
CG17385	FBtr0087517
Sin1	FBtr0087487
phyl	FBtr0087516
L	FBtr0087492
LamC	FBtr0087512
Blos1	FBtr0301734
tra2	FBtr0089615
tra2	FBtr0089617
tra2	FBtr0089620
Sec61beta	FBtr0087498
CG12863	FBtr0087500
CG10139	FBtr0087433
Rpn6	FBtr0087475
ave	FBtr0087439
CG12859	FBtr0087440
CR42254	FBtr0347230
BEAF-32	FBtr0305588
BEAF-32	FBtr0087442
CG10209	FBtr0087462
CG10209	FBtr0329883
SMC2	FBtr0087461
Ercc1	FBtr0087448
Ciao1	FBtr0087460
HPS1	FBtr0087449
CG33506	FBtr0091446
U3-55K	FBtr0091445
Inr-a	FBtr0302109
Cyp6a22	FBtr0087450
Cyp6a22	FBtr0345526
Lap1	FBtr0303759
Lap1	FBtr0087407
CG10265	FBtr0332259
CG10265	FBtr0087421
chn	FBtr0087415
CG8089	FBtr0087418
CG11807	FBtr0087363
row	FBtr0087402
row	FBtr0329939
Ir51b	FBtr0087365
CG11808	FBtr0087366
mRpL41	FBtr0087400
CG8152	FBtr0087392
mus210	FBtr0087374
mus210	FBtr0087373
Arf51F	FBtr0087378
Pms2	FBtr0087388
dup	FBtr0339999
dup	FBtr0087387
GalNAc-T1	FBtr0087332
CG30467	FBtr0087334
Vha36-1	FBtr0087335
CG8195	FBtr0087353
CG8204	FBtr0340005
CG8207	FBtr0087342
Vha14-1	FBtr0087341
Ranbp11	FBtr0087278
CR44372	FBtr0344760
CG42662	FBtr0309868
CG42662	FBtr0302554
Rif1	FBtr0087306
Diap2	FBtr0087296
Mlf	FBtr0087292
CG8366	FBtr0087201
CG8314	FBtr0087268
CG8386	FBtr0087264
Prosbeta1	FBtr0087262
CG8397	FBtr0087261
casp	FBtr0087259
casp	FBtr0339756
Dg	FBtr0087258
Ric	FBtr0087254
Ric	FBtr0300576
spin	FBtr0089593
spin	FBtr0089591
Got1	FBtr0087232
CG10731	FBtr0344527
CG10731	FBtr0345647
CG8435	FBtr0087249
Lis-1	FBtr0087236
CG8441	FBtr0087247
clu	FBtr0087242
CG42837	FBtr0303860
CG44243	FBtr0339086
CG44243	FBtr0339087
shark	FBtr0087244
krimp	FBtr0087189
csul	FBtr0089871
Khc	FBtr0087184
CG7747	FBtr0087179
CG4282	FBtr0087144
Vha44	FBtr0087173
Hmgs	FBtr0087145
Hmgs	FBtr0340059
Nup62	FBtr0087150
Nup62	FBtr0340060
wcd	FBtr0087170
RpS15	FBtr0087123
RpLP2	FBtr0087105
CG8311	FBtr0087121
CG5210	FBtr0087111
Sod2	FBtr0345492
Sod2	FBtr0087078
CG5522	FBtr0087027
CR43650	FBtr0310102
CR43650	FBtr0310103
Fen1	FBtr0087075
Dek	FBtr0100436
Psi	FBtr0087073
Ef1beta	FBtr0332947
Ef1beta	FBtr0345627
PIG-V	FBtr0339071
PIG-V	FBtr0339072
ste24a	FBtr0087059
NiPp1	FBtr0087058
CG6805	FBtr0086966
CG8963	FBtr0087016
tef	FBtr0087014
CG8950	FBtr0306810
CG8950	FBtr0087013
Sply	FBtr0087008
Sply	FBtr0087007
GstS1	FBtr0087005
CG43107	FBtr0304890
Sip1	FBtr0086909
Prosalpha5	FBtr0086910
Prosalpha5	FBtr0086911
cnk	FBtr0340214
l(2)k01209	FBtr0086912
CG6550	FBtr0086961
Mtap	FBtr0345803
Mtap	FBtr0086916
Mtap	FBtr0329993
Bap55	FBtr0086960
Lhr	FBtr0086917
EDTP	FBtr0086958
robl	FBtr0086920
CG14478	FBtr0086921
CG14478	FBtr0345418
Tes	FBtr0086954
APC10	FBtr0086951
eIF3-S9	FBtr0086942
RpL18A	FBtr0086947
MESR4	FBtr0113090
MESR4	FBtr0086946
CG14480	FBtr0304733
Ns2	FBtr0086906
POSH	FBtr0086828
CG14482	FBtr0329864
CG14482	FBtr0086905
Rab4	FBtr0086830
CG14483	FBtr0345525
CG14483	FBtr0086902
RhoGAP54D	FBtr0329862
RhoGAP54D	FBtr0086900
icln	FBtr0086832
Smurf	FBtr0086833
Smurf	FBtr0333168
eIF3-S8	FBtr0086836
CG30109	FBtr0340271
CG6424	FBtr0086887
CG6424	FBtr0340273
Snx16	FBtr0086885
CG34195	FBtr0112388
CG6406	FBtr0086883
CG4996	FBtr0086864
Ir54a	FBtr0086865
sub	FBtr0340277
OstDelta	FBtr0089559
OstDelta	FBtr0340276
Ubc10	FBtr0089553
CG5033	FBtr0089550
CR45270	FBtr0345480
CR45270	FBtr0345792
CR45270	FBtr0345793
olf186-M	FBtr0086799
olf186-F	FBtr0086797
olf186-F	FBtr0336699
thr	FBtr0340283
Mapmodulin	FBtr0086823
CG5098	FBtr0086732
CG5098	FBtr0329994
CG5098	FBtr0346952
stau	FBtr0086783
Spn55B	FBtr0086733
Dip3	FBtr0086734
Hsf	FBtr0110966
Pcl	FBtr0086735
Pcl	FBtr0329998
pAbp	FBtr0086738
pAbp	FBtr0086740
CG17680	FBtr0086781
CG5742	FBtr0086780
CG5742	FBtr0330000
lolal	FBtr0300484
lolal	FBtr0300483
lolal	FBtr0086776
CG10915	FBtr0086746
CG10915	FBtr0345416
CG42518	FBtr0300662
MED9	FBtr0300664
Dgp-1	FBtr0086773
CG5726	FBtr0086772
fj	FBtr0086754
Ote	FBtr0086768
pen-2	FBtr0340331
sbb	FBtr0086766
GstE10	FBtr0086726
GstE1	FBtr0086669
GstE6	FBtr0086674
GstE8	FBtr0086676
GstE8	FBtr0345798
CG5174	FBtr0086686
CG30118	FBtr0113360
Prp19	FBtr0086723
CG5190	FBtr0086696
GstE11	FBtr0086697
GstE11	FBtr0345628
Pepck	FBtr0086701
CG45087	FBtr0344533
CG10927	FBtr0086705
mRpS28	FBtr0086714
CG5323	FBtr0086706
CG5335	FBtr0086708
Sec6	FBtr0086709
Eip55E	FBtr0086710
Eip55E	FBtr0345422
CG5482	FBtr0345423
CG5482	FBtr0086661
CG5482	FBtr0345424
CG30122	FBtr0086660
CG30122	FBtr0300923
Gint3	FBtr0340392
CG42306	FBtr0340393
CG15093	FBtr0086640
CG15098	FBtr0086629
CG15083	FBtr0086618
CG15084	FBtr0086619
Jheh1	FBtr0086625
Jheh2	FBtr0089970
Jheh2	FBtr0345981
prod	FBtr0086601
CG15107	FBtr0086600
CG15107	FBtr0331978
Topors	FBtr0086570
botv	FBtr0086579
CG7137	FBtr0086505
CG11906	FBtr0086563
FK506-bp2	FBtr0086515
mip40	FBtr0086560
Tab2	FBtr0086516
CG7461	FBtr0300283
CG7461	FBtr0345425
EndoB	FBtr0086559
SdhA	FBtr0086552
SdhA	FBtr0086553
SdhA	FBtr0086554
cer	FBtr0086551
CR43430	FBtr0309059
RpL11	FBtr0086533
snoRNA:Psi28S-2444	FBtr0113515
EloC	FBtr0086540
betaTub56D	FBtr0086536
par-1	FBtr0330243
par-1	FBtr0100390
par-1	FBtr0301505
par-1	FBtr0086450
par-1	FBtr0330245
TBCB	FBtr0086502
Rep	FBtr0086462
hpo	FBtr0086500
CG11007	FBtr0086464
CG11007	FBtr0345929
CR44504	FBtr0340598
hrg	FBtr0086484
hrg	FBtr0111010
Toll-7	FBtr0086336
18w	FBtr0086309
Hsl	FBtr0086270
PCNA	FBtr0086308
PCNA	FBtr0086307
plu	FBtr0086306
RpS18	FBtr0086273
RpS18	FBtr0086274
CG10444	FBtr0086305
CG9143	FBtr0086304
CR44642	FBtr0342678
CG13871	FBtr0086282
CG8920	FBtr0086281
MED8	FBtr0086297
CG8929	FBtr0086283
CG8929	FBtr0086284
CG8929	FBtr0345355
CG13427	FBtr0086268
CG13430	FBtr0100495
CG18065	FBtr0100677
Mgat1	FBtr0086259
Nnf1a	FBtr0086257
bl	FBtr0301760
CG9945	FBtr0086225
CG11180	FBtr0086254
rig	FBtr0086252
maf-S	FBtr0086230
CG11110	FBtr0086231
CG33785	FBtr0091786
CG33786	FBtr0091787
DMAP1	FBtr0086232
Fem-1	FBtr0086245
CG30152	FBtr0086236
CG30152	FBtr0342718
CG30152	FBtr0345354
hbn	FBtr0071556
Prosalpha3	FBtr0071522
CG10543	FBtr0071524
CG10543	FBtr0332594
