CG14683	FBtr0082267
CG14684	FBtr0082268
MED7	FBtr0082311
TfIIFbeta	FBtr0082310
Rbp1	FBtr0082275
Art1	FBtr0082304
Mcm5	FBtr0082279
CG42394	FBtr0300045
CG4511	FBtr0082286
CG4570	FBtr0082287
SelR	FBtr0082292
Tsp86D	FBtr0306640
Tsp86D	FBtr0082288
Tsp86D	FBtr0330150
Fdh	FBtr0082290
Leash	FBtr0082325
Ugt86Da	FBtr0082338
SdhC	FBtr0335221
SdhC	FBtr0082372
Tctp	FBtr0082344
ZnT86D	FBtr0082371
RpS25	FBtr0082370
CG6693	FBtr0336784
RpL3	FBtr0082347
RpL3	FBtr0082346
CG17726	FBtr0082352
GCC88	FBtr0082366
Arfip	FBtr0082364
CG17721	FBtr0082354
CG17721	FBtr0304707
CG17734	FBtr0082360
CG5214	FBtr0082358
KP78a	FBtr0301426
KP78b	FBtr0301427
KP78b	FBtr0082408
mRpL40	FBtr0082384
Irbp	FBtr0082385
Ranbp9	FBtr0082386
Ranbp9	FBtr0346638
RpL24-like	FBtr0082403
CG5276	FBtr0082390
CG5276	FBtr0339375
CG6744	FBtr0308211
CG6744	FBtr0082402
CG10898	FBtr0082410
fabp	FBtr0100321
CG6791	FBtr0082458
Jupiter	FBtr0082452
CG14712	FBtr0082418
Csk	FBtr0300547
Elp1	FBtr0082420
CG14715	FBtr0082423
Taf12	FBtr0082440
Taf12	FBtr0335213
Ho	FBtr0082424
Blm	FBtr0082434
CG6923	FBtr0082432
CG6923	FBtr0082433
CG6923	FBtr0330169
Lk6	FBtr0082534
glo	FBtr0089919
CoVa	FBtr0082474
CoVa	FBtr0334890
CG6962	FBtr0082516
aurA	FBtr0082483
CG12213	FBtr0334155
CG12213	FBtr0082510
GC1	FBtr0082484
GC1	FBtr0334153
Tango9	FBtr0347147
Tango9	FBtr0082508
CG3397	FBtr0082504
KLHL18	FBtr0082557
GCC185	FBtr0113224
CG3313	FBtr0082555
CG3313	FBtr0335433
Spt3	FBtr0082537
CG4702	FBtr0082550
CG4848	FBtr0334597
CG4848	FBtr0082624
CG4860	FBtr0082623
CG10038	FBtr0082614
MBD-R2	FBtr0082611
GstD9	FBtr0082608
GstD2	FBtr0082569
GstD3	FBtr0082570
GstD5	FBtr0082572
GstD6	FBtr0082573
CG10035	FBtr0344387
CG10035	FBtr0082606
CG5167	FBtr0082583
Dip-C	FBtr0082597
Dip-C	FBtr0344982
snmRNA:649	FBtr0091665
Pp1-87B	FBtr0082595
CG5641	FBtr0082594
Prosalpha2	FBtr0082590
Aos1	FBtr0082593
CG5844	FBtr0082591
Desat1	FBtr0082626
Desat1	FBtr0082627
Desat1	FBtr0082630
CG18549	FBtr0082632
CG12267	FBtr0303028
CG12267	FBtr0082635
Vha55	FBtr0082670
Vha55	FBtr0301661
Snx3	FBtr0082641
Not10	FBtr0082643
Dtg	FBtr0082648
mbo	FBtr0082668
Su(fu)	FBtr0082665
Arp1	FBtr0082652
Past1	FBtr0082655
Men	FBtr0330025
grsm	FBtr0082730
Paip2	FBtr0082693
CG31342	FBtr0113403
CG7488	FBtr0082695
CG17327	FBtr0082721
CG44194	FBtr0336814
CG17327	FBtr0336813
CG44194	FBtr0344448
CG8031	FBtr0082719
CtBP	FBtr0100161
CtBP	FBtr0334516
CG12360	FBtr0082717
pic	FBtr0082709
timeout	FBtr0082712
CG34308	FBtr0344728
Su(var)3-7	FBtr0082736
CG8449	FBtr0082778
wntD	FBtr0082775
poly	FBtr0082772
mRpS21	FBtr0082764
Droj2	FBtr0082751
GILT1	FBtr0082760
yrt	FBtr0082793
yrt	FBtr0114375
sqd	FBtr0082856
sqd	FBtr0082855
sqd	FBtr0082854
rin	FBtr0082797
rin	FBtr0346347
Hrb87F	FBtr0334495
Hrb87F	FBtr0082851
B52	FBtr0082801
B52	FBtr0300588
B52	FBtr0082804
lkb1	FBtr0301488
flfl	FBtr0082817
f-cup	FBtr0082847
primo-1	FBtr0091748
CG9288	FBtr0082829
CG42375	FBtr0299976
CG9286	FBtr0082830
Dip-B	FBtr0082831
Dip-B	FBtr0082833
Dip-B	FBtr0345229
tal-AA	FBtr0299996
tal-1A	FBtr0299997
tal-2A	FBtr0299998
tal-3A	FBtr0299999
Nsf2	FBtr0344767
Nsf2	FBtr0344766
CG31495	FBtr0082882
CG31495	FBtr0344765
ems	FBtr0082863
CG9926	FBtr0347152
CG9926	FBtr0082877
Ipp	FBtr0082865
CG9925	FBtr0082876
rdx	FBtr0334298
rdx	FBtr0301632
rdx	FBtr0100361
rdx	FBtr0301633
CG3061	FBtr0082869
CG9922	FBtr0082870
CG9922	FBtr0334297
Abi	FBtr0082910
twf	FBtr0082891
RpII140	FBtr0082892
CG12207	FBtr0309999
su(Hw)	FBtr0082946
RpII15	FBtr0082925
RpII15	FBtr0346348
pr-set7	FBtr0082929
CG3321	FBtr0303795
CG3321	FBtr0082931
HtrA2	FBtr0330045
HtrA2	FBtr0082987
mRpL11	FBtr0082953
CG8087	FBtr0082983
CG14852	FBtr0082957
Cys	FBtr0082980
CG7987	FBtr0082978
put	FBtr0334030
put	FBtr0082977
put	FBtr0330227
His4r	FBtr0082962
His4r	FBtr0334029
l(3)L1231	FBtr0082975
Hexim	FBtr0082967
Rad17	FBtr0082974
BigH1	FBtr0082969
kibra	FBtr0344383
kibra	FBtr0100008
CG7530	FBtr0083020
eff	FBtr0310554
jvl	FBtr0305694
btsz	FBtr0334287
btsz	FBtr0334286
Rrp6	FBtr0113235
Rrp6	FBtr0346063
CycC	FBtr0083010
CG3731	FBtr0083000
CG14860	FBtr0289976
Nup93-2	FBtr0083008
CG3817	FBtr0083003
RpS5b	FBtr0083006
VhaPPA1-1	FBtr0083005
CG6966	FBtr0344380
CG6966	FBtr0113236
GlyS	FBtr0083035
CG6752	FBtr0306246
CG6752	FBtr0083029
CG42542	FBtr0301101
Spn88Ea	FBtr0083141
CG4203	FBtr0083048
CG6654	FBtr0083139
Rpb7	FBtr0083137
Caf1	FBtr0083052
Art3	FBtr0083134
mRpS10	FBtr0083053
mRpS10	FBtr0083054
Hsc70-4	FBtr0083057
Hsc70-4	FBtr0083056
